Hindi,English
में,In
हैं,Are
नहीं,No
लिए,For
गया,Went
तथा,And
अपने,Our
साथ,with
होता,Would
था,Was
दिया,Gave
हुए,happened
कोई,Any
रूप,Form
मैं,I
रहा,Stayed
बात,talk
कहा,Said
समय,Time
क्या,What
अपनी,Own
बहुत,Very
तरह,Kind
बाद,after
रहे,are
द्वारा,By
अधिक,More
रही,doing
होने,to be
हुई,Hui
थे,Were
उनके,Their
थी,Was
वाले,ones
चाहिए,Needed
दिन,Day
लेकिन,But
काम,Work
हूँ,am
होते,would have been
उन्हें,Them
गये,gone
कभी,Sometimes
आदि,Etcetera
बार,Times
यहाँ,Here
दोनों,Both
कार्य,Work
पास,Near
वहाँ,There
भारत,India
लिया,took
प्राप्त,get
लगा,Put
अन्य,Other
होगा,will be
इसी,This 
देश,Country
यदि,If
सभी,All
नाम,Name
वर्ष,Year
ऐसा,As such
विकास,Development
अपना,own
ऐसे,This way
दूसरे,Others
हाथ,Hand
भाषा,Language
मेरे,My
मैंने,I
तुम,You
बीच,between
वाली,the one
बड़े,elder
प्रति,Per
व्यक्ति,Person
उनका,their
इसलिए,so
इसका,Its
ऐसी,Such
विशेष,Specific
बड़ी,Big
अथवा,Or
